LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA15700,53,47,97,47,38,82,37,227,263,61,347,408,236,727,962,227,279,508,771,224,993,485,214,702,542,157,702,490,76,573,281,42,323,276,35,311,404,35,434,213,6,215,100,5,106,67,18,89,108,3,111,474,36,515,112,175,291,4981,2700,7684
LGA15750,31,36,69,17,15,34,34,92,123,39,134,174,121,261,383,93,115,209,240,100,340,203,118,320,267,124,394,265,69,339,219,58,272,222,57,279,384,65,445,245,4,251,165,4,166,88,27,117,149,4,160,354,13,365,87,105,194,3211,1409,4625
LGA15800,13,12,30,6,7,13,6,44,54,12,95,105,62,170,237,59,72,133,129,70,198,103,51,156,138,55,189,156,32,187,79,22,107,88,10,102,163,17,183,85,0,86,41,0,41,27,11,37,43,0,43,157,10,168,36,54,93,1407,737,2148
LGA15850,19,15,33,9,21,29,20,43,59,19,72,89,48,154,198,82,63,142,162,60,219,108,65,170,142,47,184,130,34,167,102,21,128,100,13,121,181,13,194,106,6,106,67,0,67,33,8,42,56,3,52,195,9,207,45,64,105,1616,705,2318
LGA15900,260,486,744,118,243,357,276,1158,1431,259,1930,2185,933,3591,4522,1042,1754,2801,2750,1575,4327,2261,1723,3985,2902,1813,4716,2960,1396,4362,2410,1096,3502,2483,835,3312,4850,1290,6143,3640,286,3926,2438,151,2589,1514,455,1967,3254,142,3394,3572,767,4346,456,919,1374,38386,21595,59974
LGA15950,137,305,445,51,129,175,56,259,318,43,416,459,128,673,804,143,541,684,299,572,871,315,742,1057,545,922,1468,604,980,1579,590,991,1581,653,901,1552,1916,1971,3885,1562,242,1807,1405,192,1596,1725,1723,3453,5510,345,5852,1606,452,2061,126,292,418,17411,12648,30068
LGA15990,427,527,955,207,255,463,243,784,1031,166,1302,1466,797,2621,3419,746,1841,2582,1885,1587,3473,2057,1755,3807,3269,1993,5254,3346,1459,4806,2937,1382,4317,3284,1069,4348,7412,1830,9247,6194,310,6501,4748,212,4962,4829,1304,6136,15354,320,15679,7124,697,7824,730,926,1662,65764,22178,87940
LGA16100,9,15,27,5,14,21,12,34,48,9,44,57,42,119,164,25,45,72,119,45,160,65,49,116,124,47,173,122,36,155,100,28,133,98,11,114,155,20,179,82,0,84,49,3,55,30,5,40,67,0,67,155,8,165,29,35,67,1316,560,1875
LGA16150,67,103,173,61,70,128,64,280,343,60,479,543,295,844,1137,340,383,724,770,368,1136,593,395,992,854,426,1278,831,258,1088,631,213,850,692,168,858,1283,201,1484,865,27,893,543,24,570,326,84,414,685,22,709,932,77,1007,163,248,409,10053,4680,14735
LGA16200,35,45,77,29,25,50,26,114,140,47,201,246,146,388,534,135,147,280,327,125,458,258,139,397,303,108,411,294,77,374,234,45,282,246,43,284,411,61,469,257,3,258,148,4,155,78,23,98,139,3,140,416,12,431,81,121,204,3609,1686,5294
LGA16260,763,760,1523,277,264,546,424,911,1337,322,1363,1684,1160,2130,3289,1213,1236,2449,2663,1172,3833,2594,1430,4018,3849,1653,5498,4083,1330,5414,3656,1238,4895,3775,1036,4810,8062,1615,9677,5711,334,6046,4008,201,4210,3138,552,3687,6149,273,6419,4741,579,5325,477,690,1170,57074,18752,75819
LGA16350,364,369,733,121,165,286,288,659,945,278,1116,1393,1028,2206,3240,1141,1074,2213,2796,1036,3831,2445,1283,3724,3562,1459,5019,3781,1009,4792,3385,823,4208,3629,571,4202,7483,691,8172,5174,135,5311,3321,70,3391,2156,185,2344,3832,53,3882,4296,269,4564,712,716,1424,49777,13884,63667
LGA16380,152,208,355,91,113,201,128,507,633,151,1019,1164,695,2339,3033,764,1127,1890,2588,844,3433,1851,822,2672,2219,649,2867,2050,382,2436,1303,272,1574,1270,191,1461,2175,267,2443,1346,39,1384,755,20,775,448,122,575,835,22,851,1861,134,1993,414,696,1113,21086,9769,30855
LGA16400,150,168,315,87,85,174,138,357,500,132,666,795,607,1564,2169,567,765,1327,1824,566,2389,1363,645,2013,1786,562,2349,1639,303,1949,1199,251,1451,1171,166,1338,2082,210,2288,1405,28,1431,792,3,801,450,99,542,914,14,920,1843,115,1956,302,436,732,18447,7007,25452
LGA16490,76,92,170,38,63,92,70,211,288,71,382,450,240,707,944,237,388,629,564,441,1000,550,492,1044,778,607,1384,785,502,1290,743,435,1176,841,308,1145,1843,478,2321,1496,36,1534,1235,35,1267,994,164,1158,2224,25,2250,1451,80,1535,154,211,364,14382,5642,20023
LGA16550,464,1277,1737,144,318,458,220,877,1099,144,1227,1376,548,1697,2249,552,1079,1633,1134,910,2042,1100,1142,2244,1517,1305,2818,1591,1162,2751,1459,1095,2552,1469,939,2411,3507,1752,5259,2936,457,3393,2312,314,2628,2211,967,3175,6846,463,7312,3227,970,4197,389,649,1040,31774,18599,50374
LGA16610,51,54,107,17,33,58,48,165,215,53,316,364,262,710,974,232,309,533,757,238,989,523,258,776,685,181,867,593,90,681,362,54,417,399,43,444,546,43,589,312,3,318,130,0,130,80,27,108,96,3,96,511,41,554,127,193,323,5784,2761,8549
LGA16650,361,512,872,159,156,312,235,478,705,185,758,943,650,1434,2089,612,762,1374,1629,714,2343,1441,861,2307,1874,952,2823,1954,727,2682,1701,689,2390,1718,511,2225,3622,921,4542,2479,185,2663,1790,137,1928,1291,293,1582,2443,105,2548,2567,365,2928,310,394,699,27005,10949,37956
LGA16700,485,682,1165,160,187,343,199,534,735,147,768,911,540,1397,1938,522,774,1292,1281,744,2028,1242,896,2140,1776,1054,2839,1816,856,2670,1687,805,2494,1690,651,2346,3723,1025,4744,2803,198,3005,2127,103,2231,1815,414,2232,4542,138,4674,2580,304,2879,250,366,615,29386,11881,41267
LGA16900,131,120,251,84,68,144,130,298,423,143,619,764,505,1237,1745,558,471,1029,1714,390,2106,1172,428,1606,1501,421,1924,1476,231,1704,1248,198,1452,1246,137,1384,2318,208,2523,1564,31,1595,932,10,939,596,64,661,998,10,1009,1749,76,1821,261,299,558,18321,5320,23643
