LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA14920,12,87,23,35,4,176,9,3,58,64,101,19,255,0,0,0,3,11,0,15,0,0,5,6,57,4,71,0,0,6,8,38,15,65,34,31,306,282,928,137,1720
LGA14950,4,47,11,15,0,80,3,9,37,23,67,9,143,0,0,0,0,0,0,3,0,0,3,0,18,0,24,0,0,0,5,21,3,22,26,27,149,135,440,35,806
LGA15050,215,1022,304,376,37,2249,229,143,1155,803,1330,153,3805,4,5,28,27,86,14,166,20,9,76,177,888,31,1196,14,10,63,97,412,103,701,1007,598,4438,3830,11715,826,22416
LGA15240,200,927,365,390,66,2138,223,160,1046,944,1678,202,4258,11,3,49,40,118,8,225,13,10,52,124,679,22,893,14,3,58,64,359,114,616,666,552,3403,3202,10227,1176,19215
LGA15270,63,305,85,125,11,637,33,28,220,185,286,48,794,3,0,10,10,35,3,61,4,3,22,32,291,13,369,3,0,24,18,85,31,157,185,158,1194,910,3452,377,6284
LGA15300,27,202,47,78,10,397,26,12,112,97,140,20,409,0,0,6,3,6,0,18,3,4,3,17,127,14,166,0,3,11,11,69,34,133,96,90,730,529,1500,243,3187
LGA15350,74,357,79,48,19,863,344,77,565,140,72,50,1245,48,15,101,25,30,6,224,28,15,94,48,93,3,285,93,8,225,61,52,38,470,2595,527,5473,1435,1056,356,11449
LGA15520,33,163,41,37,8,299,20,31,124,92,126,21,408,0,0,10,14,13,3,37,3,0,5,16,65,3,95,0,3,10,11,58,22,101,88,94,627,520,1398,181,2900
LGA15560,5,57,8,19,8,106,8,4,26,29,33,8,104,0,0,0,0,3,0,3,0,0,0,0,28,7,34,0,0,3,7,5,11,22,21,22,196,141,486,65,934
LGA15650,21,151,43,65,3,314,19,18,119,93,174,16,440,0,3,0,0,18,3,28,0,0,3,28,145,6,182,0,0,12,14,68,28,122,116,83,601,581,2465,192,4042
