LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10900,12,16,37,43,118,237,325,307,213,1307,0,3,16,21,22,17,23,22,12,138,171,148,334,449,573,687,741,511,280,3895,1947,3627,6980,9682,10976,11756,9275,4105,1634,59984
LGA10950,3,0,3,5,18,23,34,35,14,135,0,0,0,0,0,0,0,3,0,3,21,19,47,38,49,35,34,40,19,303,91,155,317,296,394,280,283,187,65,2061
LGA11100,14,15,54,68,146,320,524,503,199,1841,3,14,28,38,54,93,115,142,67,555,135,275,706,505,402,389,342,314,186,3261,1394,3780,8755,7140,5845,4415,3262,2048,765,37397
LGA11150,3,0,12,5,14,38,30,20,13,127,0,0,0,3,3,5,3,0,0,16,21,36,68,60,90,77,51,39,17,467,66,159,369,294,398,309,209,110,40,1963
LGA11200,3,3,11,12,21,33,38,16,13,142,0,0,0,0,0,4,3,0,0,7,7,35,38,13,36,24,12,3,0,176,53,121,231,156,270,216,110,41,19,1226
LGA11250,3,17,47,61,122,348,342,244,123,1316,0,0,0,3,8,10,11,3,8,38,52,90,210,196,238,269,298,284,247,1889,462,963,2107,1861,2352,2658,2050,1218,593,14269
LGA11300,4,17,26,40,80,209,392,497,261,1535,3,23,74,37,68,98,118,143,87,655,97,263,474,265,235,223,211,188,144,2100,1076,4377,7845,4370,4328,3609,2483,1783,976,30849
LGA11350,8,4,10,25,39,110,119,134,151,593,3,0,3,8,6,11,8,12,3,58,173,185,484,586,671,765,490,231,134,3717,643,1191,3393,4385,4882,5483,3371,1266,687,25289
LGA11400,6,9,3,19,41,121,169,152,99,618,0,3,0,6,4,3,10,7,0,31,58,46,92,117,164,140,151,111,52,930,366,511,1193,1558,1889,1782,1559,791,306,9955
LGA11450,3,25,53,84,172,427,524,335,198,1827,0,3,14,28,29,48,58,58,18,264,194,242,610,562,508,400,453,357,357,3669,2423,4834,11894,11953,9833,7369,4971,2288,980,56537
LGA11500,47,76,253,358,693,1340,1386,789,327,5266,12,16,96,128,165,269,223,184,60,1161,586,725,1429,1369,1242,1345,1325,776,487,9289,5196,11412,23280,21064,19539,18518,12066,4775,1661,117510
LGA11520,5,31,48,55,105,294,796,1016,578,2919,3,27,87,40,52,101,139,241,124,815,186,402,1173,837,648,612,563,409,309,5142,1807,6268,16662,13334,11222,9250,6858,4019,2014,71429
LGA11570,57,206,739,1224,2213,3694,4722,4210,2071,19128,24,147,541,575,1138,1626,1640,1610,751,8057,1144,1588,3698,3094,3032,2608,2350,1970,1340,20826,10036,24335,52905,46665,43641,36802,24850,15824,7479,262530
LGA11600,0,3,7,7,12,28,42,30,23,165,0,4,3,0,0,3,0,4,0,13,17,17,39,48,39,38,20,25,19,253,87,154,362,328,392,382,204,135,60,2116
LGA11650,82,118,330,435,927,2126,2853,2430,1754,11057,11,25,49,61,106,153,185,142,73,806,941,1094,2031,2257,2833,3048,3680,3687,2839,22410,8917,18136,35253,39355,43605,42344,36562,21675,10263,256122
LGA11700,8,3,6,4,14,44,43,20,9,153,0,0,0,0,0,0,7,0,0,7,28,19,74,42,57,39,33,23,0,318,86,103,249,201,249,264,197,73,23,1448
LGA11720,25,50,93,132,252,605,699,492,286,2629,4,3,12,14,14,27,23,12,9,114,231,361,860,714,657,699,748,505,276,5051,1721,3442,7147,6863,6985,7179,5519,2539,1050,42447
LGA11730,22,21,88,119,217,465,725,662,425,2750,5,3,6,9,13,24,20,36,18,132,219,199,428,499,607,788,813,666,313,4533,1350,2046,4149,5146,6702,8345,7390,3986,1619,40735
LGA11750,0,4,13,14,19,46,69,48,20,236,0,0,3,0,0,4,0,3,0,13,30,39,89,68,91,89,63,41,19,531,124,257,708,588,586,591,350,212,78,3496
LGA11800,32,46,148,177,284,508,659,607,408,2858,4,22,48,57,70,53,41,30,24,347,249,313,613,592,742,929,828,845,629,5740,1910,3665,7643,8215,9625,10692,8510,4782,2070,57102
LGA12000,3,0,3,3,9,36,64,54,20,195,0,0,0,0,7,0,0,0,0,7,20,17,41,58,60,68,85,75,35,455,108,200,354,457,594,553,550,344,118,3272
LGA12150,7,16,3,14,24,38,82,61,29,268,0,0,0,0,4,3,7,3,3,28,41,18,79,73,97,94,110,66,23,599,118,215,440,378,563,546,439,239,105,3035
LGA12350,4,9,21,27,67,164,227,185,118,813,0,0,3,0,7,11,10,0,3,39,78,72,105,124,151,187,182,160,60,1122,360,650,1071,1259,1661,1812,1673,996,431,9919
