LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA16200,1477,2904,42,230,147,689,58,271,765,3124,1005,4313,65,276,97,304,296,904,454,1481,1460,5798,10,60,50,188,29,94,288,811,382,1160,14,40,60,133,229,485,302,658,687,1818,50,96,3671,10619
LGA16260,19573,39343,251,1415,2404,10833,427,1943,18726,69351,21814,83535,1569,6697,2898,10094,4815,15626,9285,32416,31093,115959,62,296,497,1728,167,593,2403,6232,3133,8853,352,1134,1097,2519,3150,6874,4601,10531,7727,19382,1137,2444,59537,177124
LGA16350,15792,31854,546,3219,2243,10899,986,4678,12888,50983,16663,69786,1492,6481,1612,5619,5649,18696,8757,30797,25421,100584,163,798,613,2284,412,1441,3932,11056,5118,15582,415,1352,759,1751,3766,8423,4944,11528,10063,27106,784,1685,52054,161230
LGA16380,10571,20982,113,607,861,3951,211,925,3824,15229,5002,20720,256,1043,576,1856,1355,4158,2188,7056,7192,27772,36,149,265,930,106,404,1435,3859,1844,5349,116,350,359,760,1213,2577,1686,3688,3534,9039,222,455,21516,58247
LGA16400,8356,16558,139,766,719,3376,268,1185,3694,14511,4815,19846,369,1545,518,1728,1548,4801,2430,8071,7243,27915,40,180,206,726,136,451,1284,3547,1660,4914,109,351,221,458,1113,2367,1439,3167,3095,8084,199,412,18893,52959
LGA16490,5426,10707,94,539,745,3428,183,828,3879,14845,4907,19643,368,1498,640,2133,1187,3795,2197,7432,7107,27071,26,129,110,358,66,204,859,2223,1061,2918,77,250,194,419,711,1538,981,2203,2044,5124,172,361,14744,43268
LGA16550,12320,24354,99,514,1232,5462,186,828,8596,32157,10115,38953,709,2871,1356,4700,2413,7615,4479,15182,14593,54141,35,164,215,688,99,330,1475,3665,1824,4848,185,563,621,1405,1948,4178,2760,6149,4579,10996,1005,2116,32493,91610
LGA16610,2489,4973,43,236,227,1122,101,486,1064,4335,1436,6177,96,385,152,479,459,1415,701,2282,2141,8462,19,101,81,304,48,204,487,1473,645,2081,35,111,83,181,412,886,529,1180,1178,3260,107,225,5912,16926
LGA16650,10439,21159,191,1106,1084,5103,280,1290,7022,26505,8579,34001,730,3107,994,3459,2642,8505,4362,15073,12949,49076,42,207,194,674,107,366,1232,3238,1574,4478,205,675,479,1089,2004,4396,2689,6159,4267,10639,723,1570,28370,82443
LGA16700,11001,22012,117,624,1235,5538,150,670,8515,31690,10010,38520,869,3615,1509,5279,2583,8309,4969,17197,14982,55716,15,75,196,639,61,184,1106,2780,1375,3679,173,542,548,1266,1706,3773,2430,5578,3804,9255,739,1565,30525,88550
