LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA17850,4,0,16,7,3,0,0,7,0,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,11,0,3,3,0,0,5,5,3,30,286,142,104,73,75,39,30,71,3,828
LGA17900,5,0,11,9,3,0,9,13,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,6,5,10,0,7,14,3,62,245,248,126,181,111,38,71,92,14,1127
LGA17950,3,0,3,9,4,3,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,0,9,0,3,3,0,8,0,33,196,132,99,62,61,19,34,49,11,671
LGA18020,10,6,30,14,10,7,8,17,3,96,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,6,3,0,25,31,4,11,10,11,3,11,26,21,134,519,442,259,249,173,96,96,175,37,2047
LGA18050,168,50,409,171,83,59,17,37,9,997,3,7,3,8,0,0,0,0,0,30,108,193,24,37,53,37,5,22,17,511,70,96,40,46,41,45,12,40,94,481,6092,12963,2162,2173,2782,1834,325,809,505,29646
LGA18100,8,0,9,4,4,0,3,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,6,3,4,0,3,6,0,6,0,36,266,168,104,81,86,26,37,72,7,843
LGA18200,15,0,35,13,14,4,3,10,0,98,0,0,0,3,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,13,18,4,16,6,7,13,12,11,6,87,317,345,281,193,168,89,91,134,18,1633
LGA18230,85,30,280,148,82,102,43,98,6,875,0,3,3,0,0,3,0,7,0,20,24,19,9,21,14,12,12,17,5,125,53,47,62,56,49,53,43,86,65,507,1953,3568,2382,1948,1795,932,556,1006,209,14343
LGA18250,125,37,315,109,76,64,16,42,6,794,3,6,3,0,0,5,0,3,0,30,83,140,25,32,51,44,9,13,15,406,63,93,20,23,40,26,5,24,72,372,5994,13382,1761,1624,3365,1725,290,617,508,29253
LGA18350,115,21,344,138,79,73,45,101,4,908,3,0,0,0,0,3,0,8,0,18,34,27,17,14,25,9,13,19,3,163,48,33,64,34,42,45,26,63,42,405,2202,3861,2580,1510,1536,858,569,881,202,14187
LGA18400,70,23,239,107,133,85,51,60,14,785,0,4,0,0,5,0,0,3,0,17,31,16,17,11,12,10,25,16,13,149,53,43,110,53,76,46,64,66,46,558,2112,3273,3427,1719,2005,822,1051,904,264,15580
LGA18450,282,76,1063,543,376,283,140,237,24,3026,4,12,10,15,9,4,4,9,0,69,91,155,70,70,101,34,53,40,22,639,85,145,256,177,138,137,148,204,222,1503,7219,18990,10379,7447,7645,3259,2706,3129,879,61655
