LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA17750,19013,50610,739,1167,175,306,917,1476,2074,3308,81,104,35,40,7,23,2194,3478,21,31,30,55,3,7,145,394,202,484,71,182,22397,56233,2537,..,24929,56233
LGA17850,1124,2579,3,12,0,0,3,12,23,26,0,0,0,0,3,4,24,36,3,0,8,8,3,8,3,4,13,30,20,44,1187,2691,257,..,1443,2691
LGA17900,1892,4489,4,3,0,0,5,8,101,144,0,0,11,18,3,8,116,169,33,45,0,4,147,275,6,14,190,332,91,197,2286,5198,803,..,3089,5198
LGA17950,944,2244,6,16,0,0,6,16,39,60,0,0,0,0,0,0,39,60,6,5,0,4,0,0,0,0,8,10,8,26,1007,2350,203,..,1216,2350
LGA18020,3299,7714,45,48,6,13,50,58,61,96,4,3,5,13,0,0,78,114,18,31,12,20,0,0,19,32,45,88,55,119,3517,8090,761,..,4280,8090
LGA18050,4160,13126,2148,5705,2630,7934,4774,13643,3433,7320,7691,15138,4614,8718,20,55,15759,31233,3,3,0,0,0,0,343,713,344,711,129,304,25166,59012,3237,..,28400,59012
LGA18100,1365,3072,51,80,0,0,53,78,8,9,0,0,0,0,0,0,7,13,4,4,0,0,0,0,7,17,9,24,11,27,1449,3207,293,..,1743,3207
LGA18200,2163,5495,38,65,0,0,38,65,115,156,0,0,0,0,0,0,115,156,39,75,22,48,9,12,10,28,74,157,23,58,2420,5932,485,..,2912,5932
LGA18230,14789,39517,999,1718,55,90,1054,1807,1191,1870,14,22,0,0,0,0,1208,1895,40,107,12,18,7,17,277,709,339,848,87,184,17474,44249,2114,..,19590,44249
LGA18250,12077,37539,865,2243,1217,3297,2077,5539,1546,3294,3225,7367,7086,16247,12,16,11873,26917,3,3,0,0,0,3,65,141,72,150,58,122,26155,70268,2326,..,28483,70268
LGA18350,16121,40550,764,1176,293,510,1055,1689,319,486,0,0,3,3,4,14,324,501,86,121,3,12,13,26,31,64,136,223,129,265,17759,43231,2788,..,20546,43231
LGA18400,14179,43859,589,1011,61,109,647,1119,91,156,5,9,0,0,6,13,108,184,40,56,24,31,14,36,35,101,113,225,55,148,15094,45536,949,..,16048,45536
LGA18450,51367,145913,4016,7337,5141,11276,9154,18620,5540,10108,2979,5348,3892,7515,48,108,12454,23083,213,351,46,94,4,11,244,610,511,1054,468,888,73953,189562,6330,..,80279,189562
LGA18500,4500,14019,690,1594,4013,10019,4703,11616,1826,3926,4366,8468,5376,9488,64,160,11636,22041,0,3,0,0,0,3,156,303,158,305,106,260,21105,48245,2857,..,23959,48245
LGA18710,5185,14237,207,317,9,14,220,331,27,47,0,0,0,0,0,3,26,47,9,9,11,28,9,24,8,11,40,69,51,118,5519,14797,627,..,6143,14797
LGA19399,331,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,7,4,4,336,852,151,..,490,852
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
